cena,count
"[0.0, 501.0)",2044
"[501.0, 1501.0)",13822
"[1501.0, 3001.0)",2732
"[3001.0, 5001.0)",385
"[5001.0, 10001.0)",131
"[10001.0, 15001.0)",25
"[15001.0, inf)",4

"[0.0, 501.0)"	2044
"[501.0, 1501.0)"	13822
"[1501.0, 3001.0)"	2732
"[3001.0, 5001.0)"	385
"[5001.0, 10001.0)"	131
"[10001.0, 15001.0)"	25
"[15001.0, - )"	4
